工作表,单元格,渠道,月份,预算项目,源行,公式,缓存值
总表-渠道二维汇总,BC14,天猫淘宝,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BD14,天猫淘宝,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BE14,天猫淘宝,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BF14,天猫淘宝,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BG14,天猫淘宝,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BH14,天猫淘宝,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BI14,天猫淘宝,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BJ14,天猫淘宝,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BN14,拼多多,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BO14,拼多多,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BP14,拼多多,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BQ14,拼多多,2026-04,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BR14,拼多多,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BS14,拼多多,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BT14,拼多多,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BU14,拼多多,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BV14,拼多多,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BW14,拼多多,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BX14,拼多多,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BY14,拼多多,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CC14,京东POP,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CD14,京东POP,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CE14,京东POP,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CF14,京东POP,2026-04,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CG14,京东POP,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CH14,京东POP,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CI14,京东POP,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CJ14,京东POP,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CK14,京东POP,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CL14,京东POP,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CM14,京东POP,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,CN14,京东POP,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DG14,达播,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DH14,达播,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DI14,达播,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DJ14,达播,2026-04,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DK14,达播,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DL14,达播,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DM14,达播,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DN14,达播,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DO14,达播,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DP14,达播,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DQ14,达播,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DR14,达播,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DV14,私域,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DW14,私域,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DX14,私域,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DY14,私域,2026-04,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,DZ14,私域,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EA14,私域,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EB14,私域,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EC14,私域,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,ED14,私域,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EE14,私域,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EF14,私域,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EG14,私域,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,EK14,外部分销,2026-01,渠道投入/退货成本,14,,
总表-渠道二维汇总,EL14,外部分销,2026-02,渠道投入/退货成本,14,,
总表-渠道二维汇总,EM14,外部分销,2026-03,渠道投入/退货成本,14,,
总表-渠道二维汇总,EN14,外部分销,2026-04,渠道投入/退货成本,14,,
总表-渠道二维汇总,EO14,外部分销,2026-05,渠道投入/退货成本,14,,
总表-渠道二维汇总,EP14,外部分销,2026-06,渠道投入/退货成本,14,,
总表-渠道二维汇总,EQ14,外部分销,2026-07,渠道投入/退货成本,14,,
总表-渠道二维汇总,ER14,外部分销,2026-08,渠道投入/退货成本,14,,
总表-渠道二维汇总,ES14,外部分销,2026-09,渠道投入/退货成本,14,,
总表-渠道二维汇总,ET14,外部分销,2026-10,渠道投入/退货成本,14,,
总表-渠道二维汇总,EU14,外部分销,2026-11,渠道投入/退货成本,14,,
总表-渠道二维汇总,EV14,外部分销,2026-12,渠道投入/退货成本,14,,
总表-渠道二维汇总,EK15,外部分销,2026-01,渠道投入/平台毛利补贴,15,='测算-外部分销'!I$25,
总表-渠道二维汇总,EL15,外部分销,2026-02,渠道投入/平台毛利补贴,15,='测算-外部分销'!J$25,
总表-渠道二维汇总,EM15,外部分销,2026-03,渠道投入/平台毛利补贴,15,='测算-外部分销'!K$25,
总表-渠道二维汇总,EN15,外部分销,2026-04,渠道投入/平台毛利补贴,15,='测算-外部分销'!L$25,
总表-渠道二维汇总,EO15,外部分销,2026-05,渠道投入/平台毛利补贴,15,='测算-外部分销'!M$25,
总表-渠道二维汇总,EP15,外部分销,2026-06,渠道投入/平台毛利补贴,15,='测算-外部分销'!N$25,
总表-渠道二维汇总,U17,抖音,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,V17,抖音,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,W17,抖音,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,X17,抖音,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,Y17,抖音,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,Z17,抖音,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AA17,抖音,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AB17,抖音,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AC17,抖音,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AD17,抖音,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AE17,抖音,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AF17,抖音,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AJ17,视频号,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AK17,视频号,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AL17,视频号,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AM17,视频号,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AN17,视频号,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AO17,视频号,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AP17,视频号,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AQ17,视频号,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AR17,视频号,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AS17,视频号,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AT17,视频号,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AU17,视频号,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AY17,天猫淘宝,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,AZ17,天猫淘宝,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BA17,天猫淘宝,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BB17,天猫淘宝,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BC17,天猫淘宝,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BD17,天猫淘宝,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BE17,天猫淘宝,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BF17,天猫淘宝,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BG17,天猫淘宝,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BH17,天猫淘宝,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BI17,天猫淘宝,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BJ17,天猫淘宝,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BN17,拼多多,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BO17,拼多多,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BP17,拼多多,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BQ17,拼多多,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BR17,拼多多,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BS17,拼多多,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BT17,拼多多,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BU17,拼多多,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BV17,拼多多,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BW17,拼多多,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BX17,拼多多,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,BY17,拼多多,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CC17,京东POP,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CD17,京东POP,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CE17,京东POP,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CF17,京东POP,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CG17,京东POP,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CH17,京东POP,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CI17,京东POP,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CJ17,京东POP,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CK17,京东POP,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CL17,京东POP,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CM17,京东POP,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,CN17,京东POP,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DG17,达播,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DH17,达播,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DI17,达播,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DJ17,达播,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DK17,达播,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DL17,达播,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DM17,达播,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DN17,达播,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DO17,达播,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DP17,达播,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DQ17,达播,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DR17,达播,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DV17,私域,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DW17,私域,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DX17,私域,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DY17,私域,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,DZ17,私域,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EA17,私域,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EB17,私域,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EC17,私域,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,ED17,私域,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EE17,私域,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EF17,私域,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EG17,私域,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EK17,外部分销,2026-01,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EL17,外部分销,2026-02,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EM17,外部分销,2026-03,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EN17,外部分销,2026-04,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EO17,外部分销,2026-05,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EP17,外部分销,2026-06,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EQ17,外部分销,2026-07,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,ER17,外部分销,2026-08,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,ES17,外部分销,2026-09,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,ET17,外部分销,2026-10,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EU17,外部分销,2026-11,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,EV17,外部分销,2026-12,渠道投入/自营渠道推广费,17,"=""""",
总表-渠道二维汇总,U18,抖音,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,V18,抖音,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,W18,抖音,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,X18,抖音,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,Y18,抖音,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,Z18,抖音,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AA18,抖音,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AB18,抖音,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AC18,抖音,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AD18,抖音,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AE18,抖音,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AF18,抖音,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AJ18,视频号,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AK18,视频号,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AL18,视频号,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AM18,视频号,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AN18,视频号,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AO18,视频号,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AP18,视频号,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AQ18,视频号,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AR18,视频号,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AS18,视频号,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AT18,视频号,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AU18,视频号,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AY18,天猫淘宝,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,AZ18,天猫淘宝,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BA18,天猫淘宝,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BB18,天猫淘宝,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BC18,天猫淘宝,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BD18,天猫淘宝,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BE18,天猫淘宝,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BF18,天猫淘宝,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BG18,天猫淘宝,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BH18,天猫淘宝,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BI18,天猫淘宝,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BJ18,天猫淘宝,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BN18,拼多多,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BO18,拼多多,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BP18,拼多多,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BQ18,拼多多,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BR18,拼多多,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BS18,拼多多,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BT18,拼多多,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BU18,拼多多,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BV18,拼多多,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BW18,拼多多,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BX18,拼多多,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,BY18,拼多多,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CC18,京东POP,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CD18,京东POP,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CE18,京东POP,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CF18,京东POP,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CG18,京东POP,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CH18,京东POP,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CI18,京东POP,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CJ18,京东POP,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CK18,京东POP,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CL18,京东POP,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CM18,京东POP,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,CN18,京东POP,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DG18,达播,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DH18,达播,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DI18,达播,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DJ18,达播,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DK18,达播,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DL18,达播,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DM18,达播,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DN18,达播,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DO18,达播,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DP18,达播,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DQ18,达播,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DR18,达播,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DV18,私域,2026-01,渠道投入/商务政策费用,18,"=""""",
